defect_id,department,location,defect_type,severity,overdue_days,estimated_duration_hours,criticality_score,asset_impact,description
SMMS-001,S&T,CNB (RRI cabin),Interlocking relay / EI card fault,High,5,3.5,10,High,Electronic interlocking I/O card intermittent; risk of route locking failure at Kanpur Central. Session 1 of 2 (card swap night 1; full route testing night 2).
SMMS-002,S&T,SEC-01 / IB between PNKD–BKO,Axle counter disturbance,High,9,3.0,9,High,Multi-section axle counter reset failures; trains running on paper line-clear during peaks. Single session reset + cable test.
SMMS-003,S&T,PNKD (points 21/22),Point machine sluggish,Medium,13,3.0,7,Medium,IRS point machine throwing time > 4 s; needs overhauling under disconnection. Single session.
SMMS-004,S&T,SEC-02 / LC-28,LC gate interlocking defect,High,4,3.0,9,High,Boom locking circuit not proving; engineering + S&T joint block mandatory. Single session.
SMMS-005,S&T,FTP (home signal Up),Signal lamp / LED module failure,Medium,8,2.0,6,Medium,Cold LED bank on Up home; redundant filament still OK but overdue replacement.
SMMS-006,S&T,SEC-03 / km 88.0,Track circuit failure,High,2,3.0,9,High,"DC track circuit pumping in wet weather; false occupancy, capacity loss ~4 paths/hour. Single-session relay + battery replacement."
SMMS-007,S&T,KGA cabin,Cable insulation / megger fail,Medium,22,3.0,6,Medium,Main cable megger < 1 MΩ; replacement of 400 m quad under traffic block. Session 1 of 2 (pull-through night 1; termination + testing night 2).
SMMS-008,S&T,SRO (starter Down),Signal lamp / LED module failure,Low,31,1.5,3,Low,Route indicator LED dim; not affecting main aspect.
SMMS-009,S&T,SEC-04 / IBS SRO–BRE,Axle counter disturbance,Medium,15,3.0,7,Medium,Preparatory reset frequent in fog; medium density but crew complaints high. Single session.
SMMS-010,S&T,BRE (points 11),Point machine sluggish,High,6,3.0,8,High,Detection chatter; possible split if not attended before summer expansion. Single session.
SMMS-011,S&T,SFG Yard,Track circuit failure,Medium,17,3.5,7,High,"Yard berthing track shows occupied; inbound goods held at outer, asset idle. Single session relay + shunt test."
SMMS-012,S&T,PRYJ (EI),Interlocking relay / EI card fault,High,1,4.0,10,High,Hot standby mismatch after power dip; division HQ station — treat as emergency. Session 1 of 2 (card replacement + hot-standby bring-up within 4 h night possession).
SMMS-013,S&T,SEC-05 auto signals A-14/A-16,Signal lamp / LED module failure,Medium,10,2.5,5,Medium,Two consecutive auto signals degraded; headway increase for MEMU into PRYJ.
SMMS-014,S&T,BKO cabin,Cable cut (suspected rodent),Low,27,3.0,4,Low,Spare quad damaged; main working pair healthy.
SMMS-015,S&T,FTP / LC-35,LC gate interlocking defect,Medium,12,3.0,7,Medium,Hooter and boom not in correspondence; joint S&T–Engineering window.
SMMS-016,S&T,CNBI (slot circuit),Track circuit failure,Low,36,2.5,3,Low,Slot circuit voltage drop; can be patched in night shadow without full corridor block.
