slot_id,section_id,section_name,start_datetime,end_datetime,duration_hours,is_night_window,traffic_density,slot_source,max_tasks_possible,assigned_defect_ids,assigned_defect_count,departments_involved,is_bundled,bundle_type,total_priority_cleared,max_defect_duration,total_defect_duration,duration_utilization_pct
TT-SEC-05-20260907-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-07T00:20:00,2026-09-07T03:50:00,3.5,True,High,Timetable,2,"['TMS-012', 'SMMS-011']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,150.01,6.5,10.5,100.0
TT-SEC-01-20260907-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-07T00:40:00,2026-09-07T04:10:00,3.5,True,High,Timetable,2,"['TDMS-002', 'SMMS-014']",2,"['S&T', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),128.74,6.0,9.0,100.0
TT-SEC-04-20260907-0200,SEC-04,Khaga – Bharwari,2026-09-07T02:00:00,2026-09-07T05:00:00,3.0,True,Medium,Timetable,1,"['SMMS-009', 'TMS-008']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,117.03,3.5,7.0,100.0
TT-SEC-05-20260908-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-08T00:20:00,2026-09-08T03:50:00,3.5,True,High,Timetable,2,"['TDMS-011', 'SMMS-013']",2,"['S&T', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),130.54,5.0,7.5,100.0
TT-SEC-01-20260908-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-08T00:40:00,2026-09-08T04:10:00,3.5,True,High,Timetable,2,"['TMS-002', 'TDMS-003']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),143.61,6.0,9.5,100.0
TT-SEC-03-20260908-0130,SEC-03,Fatehpur – Khaga,2026-09-08T01:30:00,2026-09-08T04:30:00,3.0,True,Medium,Timetable,1,"['TDMS-008', 'TMS-007']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),123.19,7.0,13.0,100.0
TT-SEC-04-20260908-0200,SEC-04,Khaga – Bharwari,2026-09-08T02:00:00,2026-09-08T05:00:00,3.0,True,Medium,Timetable,1,"['SMMS-010', 'TMS-011']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,128.07,7.0,10.0,100.0
TT-SEC-05-20260909-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-09T00:20:00,2026-09-09T03:50:00,3.5,True,High,Timetable,2,['TDMS-013'],1,['TRD'],False,Single Task Block,66.37,3.5,3.5,100.0
TT-SEC-01-20260909-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-09T00:40:00,2026-09-09T04:10:00,3.5,True,High,Timetable,2,"['TMS-004', 'TMS-017']",2,['Engineering'],True,Co-Located Engineering Multi-Task Block,115.25,3.0,6.0,100.0
TT-SEC-02-20260909-0110,SEC-02,Bindki Road – Fatehpur,2026-09-09T01:10:00,2026-09-09T04:20:00,3.17,True,High,Timetable,1,"['TMS-005', 'TDMS-005']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),128.97,8.0,11.0,100.0
TT-SEC-04-20260909-0200,SEC-04,Khaga – Bharwari,2026-09-09T02:00:00,2026-09-09T05:00:00,3.0,True,Medium,Timetable,1,"['TMS-009', 'TDMS-009']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),121.32,5.0,7.5,100.0
TT-SEC-01-20260910-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-10T00:40:00,2026-09-10T04:10:00,3.5,True,High,Timetable,2,"['SMMS-003', 'TMS-020']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,122.94,6.0,9.5,100.0
TT-SEC-02-20260910-0110,SEC-02,Bindki Road – Fatehpur,2026-09-10T01:10:00,2026-09-10T04:20:00,3.17,True,High,Timetable,1,"['SMMS-004', 'SMMS-005']",2,['S&T'],True,Co-Located S&T Multi-Task Block,131.01,3.0,5.0,100.0
TT-SEC-03-20260910-0130,SEC-03,Fatehpur – Khaga,2026-09-10T01:30:00,2026-09-10T04:30:00,3.0,True,Medium,Timetable,1,"['SMMS-007', 'TMS-018']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,112.0,7.0,12.0,100.0
TT-SEC-05-20260911-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-11T00:20:00,2026-09-11T03:50:00,3.5,True,High,Timetable,2,"['TMS-013', 'TDMS-012']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),123.79,4.0,6.5,100.0
TT-SEC-01-20260911-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-11T00:40:00,2026-09-11T04:10:00,3.5,True,High,Timetable,2,"['TDMS-001', 'TMS-003']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),154.75,5.0,10.0,100.0
TT-SEC-02-20260911-0110,SEC-02,Bindki Road – Fatehpur,2026-09-11T01:10:00,2026-09-11T04:20:00,3.17,True,High,Timetable,1,['TMS-016'],1,['Engineering'],False,Single Task Block,72.15,8.0,8.0,100.0
TT-SEC-04-20260911-0200,SEC-04,Khaga – Bharwari,2026-09-11T02:00:00,2026-09-11T05:00:00,3.0,True,Medium,Timetable,1,"['TDMS-010', 'TMS-010']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),100.02,6.0,8.5,100.0
TT-SEC-05-20260912-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-12T00:20:00,2026-09-12T03:50:00,3.5,True,High,Timetable,2,"['SMMS-012', 'TMS-015']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,138.84,7.0,11.0,100.0
TT-SEC-01-20260912-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-12T00:40:00,2026-09-12T04:10:00,3.5,True,High,Timetable,2,"['SMMS-016', 'TMS-022']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,97.98,2.5,5.0,71.4
GF-SEC-04-20260912-1245,SEC-04,Khaga – Bharwari,2026-09-12T12:45:00,2026-09-12T14:15:00,1.5,False,Low,GoodsForecast,1,['SMMS-008'],1,['S&T'],False,Single Task Block,41.35,1.5,1.5,100.0
TT-SEC-05-20260913-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-13T00:20:00,2026-09-13T04:20:00,4.0,True,High,Timetable,2,"['TDMS-014', 'TMS-021', 'TMS-014']",3,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),222.27,5.5,13.5,100.0
TT-SEC-01-20260913-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-13T00:40:00,2026-09-13T04:40:00,4.0,True,High,Timetable,2,"['SMMS-001', 'TMS-001', 'SMMS-002']",3,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,239.86,6.0,14.0,100.0
TT-SEC-02-20260913-0110,SEC-02,Bindki Road – Fatehpur,2026-09-13T01:10:00,2026-09-13T04:50:00,3.67,True,High,Timetable,2,"['TDMS-004', 'SMMS-015']",2,"['S&T', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),134.04,4.0,7.0,100.0
TT-SEC-03-20260913-0130,SEC-03,Fatehpur – Khaga,2026-09-13T01:30:00,2026-09-13T04:30:00,3.0,True,Medium,Timetable,1,"['TMS-019', 'TDMS-006']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),140.03,5.5,11.0,100.0
