defect_id,slot_id,section_id,department,severity,criticality_score,defect_duration,slot_duration,duration_slack_hours,is_fit,fit_category,is_night_window,traffic_density,slot_source,slot_start,slot_end,max_tasks_possible,suitability_score,feasibility_notes
TMS-001,TT-SEC-01-20260907-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-07T00:40:00,2026-09-07T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,TT-SEC-01-20260908-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-08T00:40:00,2026-09-08T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,GF-SEC-01-20260908-0410,SEC-01,Engineering,High,10,4.0,1.5,-2.5,False,insufficient_duration,True,Low,GoodsForecast,2026-09-08T04:10:00,2026-09-08T05:40:00,1,50.0,"Slot duration 1.5h is less than required 4.0h; High criticality matched to safe night corridor; Utilizes dynamic goods cancellation slot, protecting timetable paths"
TMS-001,TT-SEC-01-20260909-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-09T00:40:00,2026-09-09T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,TT-SEC-01-20260910-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-10T00:40:00,2026-09-10T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,GF-SEC-01-20260910-0410,SEC-01,Engineering,High,10,4.0,1.5,-2.5,False,insufficient_duration,True,Low,GoodsForecast,2026-09-10T04:10:00,2026-09-10T05:40:00,1,50.0,"Slot duration 1.5h is less than required 4.0h; High criticality matched to safe night corridor; Utilizes dynamic goods cancellation slot, protecting timetable paths"
TMS-001,TT-SEC-01-20260911-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-11T00:40:00,2026-09-11T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,TT-SEC-01-20260912-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-12T00:40:00,2026-09-12T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,GF-SEC-01-20260912-0410,SEC-01,Engineering,High,10,4.0,1.5,-2.5,False,insufficient_duration,True,Low,GoodsForecast,2026-09-12T04:10:00,2026-09-12T05:40:00,1,50.0,"Slot duration 1.5h is less than required 4.0h; High criticality matched to safe night corridor; Utilizes dynamic goods cancellation slot, protecting timetable paths"
TMS-001,TT-SEC-01-20260913-0040,SEC-01,Engineering,High,10,4.0,4.0,0.0,True,tight_fit,True,High,Timetable,2026-09-13T00:40:00,2026-09-13T04:40:00,2,95.0,Optimal fit with minimal idle window; High criticality matched to safe night corridor
TMS-001,TT-SEC-01-20260916-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-16T00:40:00,2026-09-16T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,GF-SEC-01-20260916-0410,SEC-01,Engineering,High,10,4.0,1.5,-2.5,False,insufficient_duration,True,Low,GoodsForecast,2026-09-16T04:10:00,2026-09-16T05:40:00,1,50.0,"Slot duration 1.5h is less than required 4.0h; High criticality matched to safe night corridor; Utilizes dynamic goods cancellation slot, protecting timetable paths"
TMS-001,TT-SEC-01-20260920-0040,SEC-01,Engineering,High,10,4.0,4.0,0.0,True,tight_fit,True,High,Timetable,2026-09-20T00:40:00,2026-09-20T04:40:00,2,95.0,Optimal fit with minimal idle window; High criticality matched to safe night corridor
TMS-001,TT-SEC-01-20260923-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-23T00:40:00,2026-09-23T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-001,GF-SEC-01-20260923-0410,SEC-01,Engineering,High,10,4.0,1.5,-2.5,False,insufficient_duration,True,Low,GoodsForecast,2026-09-23T04:10:00,2026-09-23T05:40:00,1,50.0,"Slot duration 1.5h is less than required 4.0h; High criticality matched to safe night corridor; Utilizes dynamic goods cancellation slot, protecting timetable paths"
TMS-001,TT-SEC-01-20260927-0040,SEC-01,Engineering,High,10,4.0,4.0,0.0,True,tight_fit,True,High,Timetable,2026-09-27T00:40:00,2026-09-27T04:40:00,2,95.0,Optimal fit with minimal idle window; High criticality matched to safe night corridor
TMS-001,TT-SEC-01-20260930-0040,SEC-01,Engineering,High,10,4.0,3.5,-0.5,False,insufficient_duration,True,High,Timetable,2026-09-30T00:40:00,2026-09-30T04:10:00,2,40.0,Slot duration 3.5h is less than required 4.0h; High criticality matched to safe night corridor
TMS-002,TT-SEC-01-20260907-0040,SEC-01,Engineering,High,9,3.5,3.5,0.0,True,tight_fit,True,High,Timetable,2026-09-07T00:40:00,2026-09-07T04:10:00,2,95.0,Optimal fit with minimal idle window; High criticality matched to safe night corridor
TMS-002,TT-SEC-01-20260908-0040,SEC-01,Engineering,High,9,3.5,3.5,0.0,True,tight_fit,True,High,Timetable,2026-09-08T00:40:00,2026-09-08T04:10:00,2,95.0,Optimal fit with minimal idle window; High criticality matched to safe night corridor
