rake_id,commodity,origin,destination,section_id,planned_date,planned_start,planned_end,operation,frees_block_slot,notes
GF-BOXN-4418,Coal,PNKD,BKO,SEC-01,2026-09-08,04:10,05:40,deferred,True,Thermal coal rake held at Panki siding; night path after 04:10 unused.
GF-CONCOR-2201,Container,CNB,PRYJ,SEC-01,2026-09-10,04:10,05:40,looped,True,ICD rake looped at Chandari; extra 90 min on SEC-01.
GF-BOXN-4422,Coal,PNKD,FTP,SEC-01,2026-09-12,04:10,05:40,deferred,True,Saturday coal cancelled by Control; corridor remains clear.
GF-BCN-1180,Foodgrain,BKO,FTP,SEC-02,2026-09-09,04:20,05:50,deferred,True,FCI rake not placed; Bindki–Fatehpur early morning free.
GF-BCN-1184,Foodgrain,BKO,FTP,SEC-02,2026-09-11,04:20,05:50,looped,True,Rake loops Fatehpur goods; no run-through after night mail.
GF-BTPN-3305,POL,CNB,PRYJ,SEC-05,2026-09-07,03:50,05:20,deferred,True,POL not cleared from SFG; PRYJ approach extra window.
GF-BTPN-3310,POL,SFG,PRYJ,SEC-05,2026-09-10,03:50,05:20,looped,True,Inward POL held SFG yard; terminal approach free.
GF-BCN-1191,Foodgrain,FTP,KGA,SEC-03,2026-09-11,13:00,14:30,deferred,True,Day goods cancelled; extends Fatehpur–Khaga shadow block.
GF-BCN-1199,Foodgrain,KGA,BRE,SEC-04,2026-09-12,12:45,14:15,deferred,True,Khaga–Bharwari afternoon path unused after passenger lull.
GF-BOXN-4501,Coal,PNKD,BKO,SEC-01,2026-09-16,04:10,05:40,deferred,True,Week-2 coal skip (Control order).
GF-CONCOR-2210,Container,CNB,PRYJ,SEC-01,2026-09-23,04:10,05:40,looped,True,Week-3 ICD looped Chandari.
GF-BCN-1210,Foodgrain,BKO,FTP,SEC-02,2026-09-18,04:20,05:50,deferred,True,Week-2 FCI not placed.
GF-BTPN-3320,POL,SFG,PRYJ,SEC-05,2026-09-21,03:50,05:20,deferred,True,Week-3 POL held at SFG.
GF-BOXN-4401,Coal,PNKD,PRYJ,SEC-01,2026-09-07,04:10,06:30,run_through,False,Night coal still occupies SEC-01 after mail; no extra block.
GF-RAJDHANI-PATH,Empty coaching,PRYJ,CNB,SEC-05,2026-09-08,03:40,04:10,run_through,False,Empty Rajdhani rake to CNB; keeps terminal approach closed.
GF-BCN-1170,Foodgrain,KGA,PRYJ,SEC-04,2026-09-09,05:00,07:30,run_through,False,Morning grain run-through after night corridor.
