slot_id,section_id,start_datetime,end_datetime,duration_hours,traffic_density,is_night_window,max_tasks_possible,source
TT-SEC-01-20260907-0040,SEC-01,2026-09-07T00:40:00,2026-09-07T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260907-0110,SEC-02,2026-09-07T01:10:00,2026-09-07T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260907-0130,SEC-03,2026-09-07T01:30:00,2026-09-07T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260907-0200,SEC-04,2026-09-07T02:00:00,2026-09-07T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260907-0020,SEC-05,2026-09-07T00:20:00,2026-09-07T03:50:00,3.5,High,True,2,Timetable
TT-SEC-03-20260907-1030,SEC-03,2026-09-07T10:30:00,2026-09-07T13:00:00,2.5,Medium,False,1,Timetable
TT-SEC-01-20260908-0040,SEC-01,2026-09-08T00:40:00,2026-09-08T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260908-0110,SEC-02,2026-09-08T01:10:00,2026-09-08T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260908-0130,SEC-03,2026-09-08T01:30:00,2026-09-08T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260908-0200,SEC-04,2026-09-08T02:00:00,2026-09-08T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260908-0020,SEC-05,2026-09-08T00:20:00,2026-09-08T03:50:00,3.5,High,True,2,Timetable
TT-SEC-04-20260908-0945,SEC-04,2026-09-08T09:45:00,2026-09-08T12:45:00,3.0,Medium,False,1,Timetable
TT-SEC-01-20260909-0040,SEC-01,2026-09-09T00:40:00,2026-09-09T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260909-0110,SEC-02,2026-09-09T01:10:00,2026-09-09T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260909-0130,SEC-03,2026-09-09T01:30:00,2026-09-09T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260909-0200,SEC-04,2026-09-09T02:00:00,2026-09-09T05:00:00,3.0,Medium,True,1,Timetable
