slot_id,section_id,start_datetime,end_datetime,duration_hours,traffic_density,is_night_window,max_tasks_possible,source,horizon
GF-SEC-01-20260908-0410,SEC-01,2026-09-08T04:10:00,2026-09-08T05:40:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-01-20260910-0410,SEC-01,2026-09-10T04:10:00,2026-09-10T05:40:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-01-20260912-0410,SEC-01,2026-09-12T04:10:00,2026-09-12T05:40:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-02-20260909-0420,SEC-02,2026-09-09T04:20:00,2026-09-09T05:50:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-02-20260911-0420,SEC-02,2026-09-11T04:20:00,2026-09-11T05:50:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-05-20260907-0350,SEC-05,2026-09-07T03:50:00,2026-09-07T05:20:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-05-20260910-0350,SEC-05,2026-09-10T03:50:00,2026-09-10T05:20:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-03-20260911-1300,SEC-03,2026-09-11T13:00:00,2026-09-11T14:30:00,1.5,Low,False,1,GoodsForecast,weekly
GF-SEC-04-20260912-1245,SEC-04,2026-09-12T12:45:00,2026-09-12T14:15:00,1.5,Low,False,1,GoodsForecast,weekly
GF-SEC-01-20260916-0410,SEC-01,2026-09-16T04:10:00,2026-09-16T05:40:00,1.5,Low,True,1,GoodsForecast,monthly
GF-SEC-01-20260923-0410,SEC-01,2026-09-23T04:10:00,2026-09-23T05:40:00,1.5,Low,True,1,GoodsForecast,monthly
GF-SEC-02-20260918-0420,SEC-02,2026-09-18T04:20:00,2026-09-18T05:50:00,1.5,Low,True,1,GoodsForecast,monthly
GF-SEC-05-20260921-0350,SEC-05,2026-09-21T03:50:00,2026-09-21T05:20:00,1.5,Low,True,1,GoodsForecast,monthly
