slot_id,section_id,section_name,start_datetime,end_datetime,duration_hours,is_night_window,traffic_density,slot_source,max_tasks_possible,assigned_defect_ids,assigned_defect_count,departments_involved,is_bundled,bundle_type,total_priority_cleared,max_defect_duration,total_defect_duration,duration_utilization_pct
TT-SEC-05-20260907-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-07T00:20:00,2026-09-07T03:50:00,3.5,True,High,Timetable,2,"['TMS-015', 'TDMS-012']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),104.19,4.0,6.5,114.3
TT-SEC-01-20260907-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-07T00:40:00,2026-09-07T04:10:00,3.5,True,High,Timetable,2,"['SMMS-002', 'TDMS-003']",2,"['S&T', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),141.49,4.0,7.5,114.3
TT-SEC-02-20260907-0110,SEC-02,Bindki Road – Fatehpur,2026-09-07T01:10:00,2026-09-07T04:20:00,3.17,True,High,Timetable,1,['SMMS-015'],1,['S&T'],False,Single Task Block,62.11,3.0,3.0,94.6
TT-SEC-05-20260908-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-08T00:20:00,2026-09-08T03:50:00,3.5,True,High,Timetable,2,['TMS-021'],1,['Engineering'],False,Single Task Block,73.08,3.5,3.5,100.0
TT-SEC-01-20260908-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-08T00:40:00,2026-09-08T04:10:00,3.5,True,High,Timetable,2,['SMMS-016'],1,['S&T'],False,Single Task Block,49.01,2.5,2.5,71.4
TT-SEC-04-20260908-0200,SEC-04,Khaga – Bharwari,2026-09-08T02:00:00,2026-09-08T05:00:00,3.0,True,Medium,Timetable,1,['SMMS-010'],1,['S&T'],False,Single Task Block,67.81,3.0,3.0,100.0
TT-SEC-04-20260909-0200,SEC-04,Khaga – Bharwari,2026-09-09T02:00:00,2026-09-09T05:00:00,3.0,True,Medium,Timetable,1,['TDMS-009'],1,['TRD'],False,Single Task Block,52.63,2.5,2.5,83.3
TT-SEC-05-20260910-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-10T00:20:00,2026-09-10T03:50:00,3.5,True,High,Timetable,2,['SMMS-011'],1,['S&T'],False,Single Task Block,70.2,4.0,4.0,114.3
TT-SEC-01-20260910-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-10T00:40:00,2026-09-10T04:10:00,3.5,True,High,Timetable,2,['SMMS-014'],1,['S&T'],False,Single Task Block,48.58,3.0,3.0,85.7
TT-SEC-04-20260910-0200,SEC-04,Khaga – Bharwari,2026-09-10T02:00:00,2026-09-10T05:00:00,3.0,True,Medium,Timetable,1,['TMS-008'],1,['Engineering'],False,Single Task Block,58.39,3.5,3.5,116.7
TT-SEC-05-20260911-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-11T00:20:00,2026-09-11T03:50:00,3.5,True,High,Timetable,2,['SMMS-013'],1,['S&T'],False,Single Task Block,53.66,2.5,2.5,71.4
