defect_id,department,location,section_id,section_name,defect_type,severity,overdue_days,estimated_duration_hours,criticality_score,asset_impact,description,criticality_component,severity_component,aging_component,asset_impact_component,density_component,duration_component,rule_priority_score,urgency_band,priority_rank,ml_priority_score,final_priority_score,final_rank,rule_rank,ml_rank,rank_delta,final_urgency_band
TMS-001,Engineering,SEC-01 / km 4.8 (CNB–CNBI Up),SEC-01,Kanpur Central – Bindki Road,Rail fracture (suspect),High,6,4.0,10,High,Ultrasonic indication of transverse defect on 60 kg 90 UTS rail; TSR 30 km/h in force. Single-session possession.,35.0,15.0,3.0,15.0,10.0,2.5,80.5,P1 - Immediate,1,79.82,80.16,1,1,1,0,P1 - Immediate
SMMS-001,S&T,CNB (RRI cabin),SEC-01,Kanpur Central – Bindki Road,Interlocking relay / EI card fault,High,5,3.5,10,High,Electronic interlocking I/O card intermittent; risk of route locking failure at Kanpur Central. Session 1 of 2 (card swap night 1; full route testing night 2).,35.0,15.0,2.5,15.0,10.0,2.19,79.69,P2 - Urgent,2,79.61,79.65,2,2,2,0,P2 - Urgent
TMS-002,Engineering,CNB Yard (PF-3 turnout 12A),SEC-01,Kanpur Central – Bindki Road,Point and crossing wear,High,11,3.5,9,High,Nose and wing rail wear beyond condemning limit; affects coaching dispatch. Session 1 of 2 (closure + measurement); Session 2 next night.,31.5,15.0,5.5,15.0,10.0,2.19,79.19,P2 - Urgent,3,78.85,79.02,3,3,3,0,P2 - Urgent
TDMS-002,TRD,SEC-01 / km 22.4,SEC-01,Kanpur Central – Bindki Road,Contact wire wear,High,10,3.5,9,High,Contact wire residual 8.6 mm (condemn 8.25 mm); replacement. Session 1 of 2 (wire removal + new wire stringing night 1; tensioning + stagger correction night 2).,31.5,15.0,5.0,15.0,10.0,2.19,78.69,P2 - Urgent,4,78.41,78.55,4,4,5,-1,P2 - Urgent
TMS-013,Engineering,SEC-05 / km 178.4 (SYWN–SFG),SEC-05,Bharwari – Prayagraj Junction,Rail fracture (suspect),High,2,4.0,10,High,USFD cluster of 3 defects in 200 m; night block preferred before PRYJ terminal peak. Single-session USFD + patching.,35.0,15.0,1.0,15.0,10.0,2.5,78.5,P2 - Urgent,5,78.53,78.51,5,5,4,1,P2 - Urgent
SMMS-012,S&T,PRYJ (EI),SEC-05,Bharwari – Prayagraj Junction,Interlocking relay / EI card fault,High,1,4.0,10,High,Hot standby mismatch after power dip; division HQ station — treat as emergency. Session 1 of 2 (card replacement + hot-standby bring-up within 4 h night possession).,35.0,15.0,0.5,15.0,10.0,2.5,78.0,P2 - Urgent,7,78.2,78.1,6,7,6,1,P2 - Urgent
TMS-012,Engineering,BRE / km 160.2,SEC-05,Bharwari – Prayagraj Junction,Bridge approach settlement,High,8,4.0,9,High,Minor bridge 412 approach dip 18 mm; packing and approach rail destressing. Single 4-hour night possession.,31.5,15.0,4.0,15.0,10.0,2.5,78.0,P2 - Urgent,8,78.03,78.01,7,7,7,0,P2 - Urgent
TDMS-014,TRD,PRYJ / TSS feed,SEC-05,Bharwari – Prayagraj Junction,CB trip / protection mal-op,High,2,3.5,10,High,Incoming 132 kV CB slow to close after trip; terminal station outage risk. Single session: CB timing tests + relay setting adjustment.,35.0,15.0,1.0,15.0,10.0,2.19,78.19,P2 - Urgent,6,77.79,77.99,8,6,9,-3,P2 - Urgent
TDMS-001,TRD,SP Panki (SEC-01),SEC-01,Kanpur Central – Bindki Road,Section insulator defect,High,7,3.5,9,High,Section insulator pitting; risk of pantograph entanglement on Up high-density line. Single-session replacement under 25 kV isolation.,31.5,15.0,3.5,15.0,10.0,2.19,77.19,P2 - Urgent,10,77.93,77.56,9,10,8,2,P2 - Urgent
SMMS-002,S&T,SEC-01 / IB between PNKD–BKO,SEC-01,Kanpur Central – Bindki Road,Axle counter disturbance,High,9,3.0,9,High,Multi-section axle counter reset failures; trains running on paper line-clear during peaks. Single session reset + cable test.,31.5,15.0,4.5,15.0,10.0,1.88,77.88,P2 - Urgent,9,76.75,77.32,10,9,11,-2,P2 - Urgent
TDMS-011,TRD,SP Subedarganj,SEC-05,Bharwari – Prayagraj Junction,Section insulator defect,High,4,3.5,9,High,Neutral section rough ride reported by Rajdhani crew; PRYJ approach. Single-session replacement.,31.5,15.0,2.0,15.0,10.0,2.19,75.69,P2 - Urgent,11,76.89,76.29,11,11,10,1,P2 - Urgent
TMS-003,Engineering,PNKD / km 14.2 Down,SEC-01,Kanpur Central – Bindki Road,Weld failure (AT weld),High,3,3.0,9,High,Alumino-thermit weld dipped; requires destressing and re-weld under traffic block. Single session; preheating done during corridor.,31.5,15.0,1.5,15.0,10.0,1.88,74.88,P2 - Urgent,13,75.84,75.36,12,13,12,1,P2 - Urgent
SMMS-004,S&T,SEC-02 / LC-28,SEC-02,Bindki Road – Fatehpur,LC gate interlocking defect,High,4,3.0,9,High,Boom locking circuit not proving; engineering + S&T joint block mandatory. Single session.,31.5,15.0,2.0,15.0,10.0,1.88,75.38,P2 - Urgent,12,75.03,75.2,13,12,13,-1,P2 - Urgent
TMS-021,Engineering,SEC-05 / km 194.0 (SFG–PRYJ),SEC-05,Bharwari – Prayagraj Junction,Gauge slack,High,7,3.5,8,High,Slack gauge on automatic block approach; high coaching density into PRYJ. Single-session tamping + gauging.,28.0,15.0,3.5,15.0,10.0,2.19,73.69,P2 - Urgent,14,73.48,73.59,14,14,14,0,P2 - Urgent
TDMS-004,TRD,SSP Bindki Road,SEC-02,Bindki Road – Fatehpur,CB trip / protection mal-op,High,3,3.0,8,High,Feeder CB nuisance trip; OHE isolation of SEC-02 during peaks. Single session relay + CB testing.,28.0,15.0,1.5,15.0,10.0,1.88,71.38,P2 - Urgent,15,70.71,71.04,15,15,15,0,P2 - Urgent
TMS-019,Engineering,FTP / km 77.8 Down,SEC-03,Fatehpur – Khaga,Weld failure (flash butt),High,4,3.0,9,High,Cupped FBW at station limit; TSR 20 km/h affecting Fatehpur stoppers. Single 3-hour night session.,31.5,15.0,2.0,15.0,5.0,1.88,70.38,P2 - Urgent,16,69.87,70.13,16,16,17,-1,P2 - Urgent
SMMS-011,S&T,SFG Yard,SEC-05,Bharwari – Prayagraj Junction,Track circuit failure,Medium,17,3.5,7,High,"Yard berthing track shows occupied; inbound goods held at outer, asset idle. Single session relay + shunt test.",24.5,9.75,8.5,15.0,10.0,2.19,69.94,P2 - Urgent,17,69.95,69.94,17,17,16,1,P2 - Urgent
SMMS-006,S&T,SEC-03 / km 88.0,SEC-03,Fatehpur – Khaga,Track circuit failure,High,2,3.0,9,High,"DC track circuit pumping in wet weather; false occupancy, capacity loss ~4 paths/hour. Single-session relay + battery replacement.",31.5,15.0,1.0,15.0,5.0,1.88,69.38,P2 - Urgent,20,69.71,69.54,18,20,18,2,P2 - Urgent
