slot_id,section_id,start_datetime,end_datetime,duration_hours,traffic_density,is_night_window,max_tasks_possible,source,horizon
TT-SEC-05-20260907-0020,SEC-05,2026-09-07T00:20:00,2026-09-07T03:50:00,3.5,High,True,2,Timetable,weekly
TT-SEC-01-20260907-0040,SEC-01,2026-09-07T00:40:00,2026-09-07T04:10:00,3.5,High,True,2,Timetable,weekly
TT-SEC-02-20260907-0110,SEC-02,2026-09-07T01:10:00,2026-09-07T04:20:00,3.17,High,True,1,Timetable,weekly
TT-SEC-03-20260907-0130,SEC-03,2026-09-07T01:30:00,2026-09-07T04:30:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-04-20260907-0200,SEC-04,2026-09-07T02:00:00,2026-09-07T05:00:00,3.0,Medium,True,1,Timetable,weekly
GF-SEC-05-20260907-0350,SEC-05,2026-09-07T03:50:00,2026-09-07T05:20:00,1.5,Low,True,1,GoodsForecast,weekly
TT-SEC-03-20260907-1030,SEC-03,2026-09-07T10:30:00,2026-09-07T13:00:00,2.5,Medium,False,1,Timetable,weekly
GF-SEC-05-20260908-0020,SEC-05,2026-09-08T00:20:00,2026-09-08T07:20:00,7.0,High,True,4,MegaBlock,weekly
TT-SEC-05-20260908-0020,SEC-05,2026-09-08T00:20:00,2026-09-08T03:50:00,3.5,High,True,2,Timetable,weekly
GF-SEC-01-20260908-0040,SEC-01,2026-09-08T00:40:00,2026-09-08T06:40:00,6.0,High,True,3,MegaBlock,weekly
TT-SEC-01-20260908-0040,SEC-01,2026-09-08T00:40:00,2026-09-08T04:10:00,3.5,High,True,2,Timetable,weekly
GF-SEC-02-20260908-0110,SEC-02,2026-09-08T01:10:00,2026-09-08T09:10:00,8.0,High,True,4,MegaBlock,weekly
TT-SEC-02-20260908-0110,SEC-02,2026-09-08T01:10:00,2026-09-08T04:20:00,3.17,High,True,1,Timetable,weekly
TT-SEC-03-20260908-0130,SEC-03,2026-09-08T01:30:00,2026-09-08T04:30:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-04-20260908-0200,SEC-04,2026-09-08T02:00:00,2026-09-08T05:00:00,3.0,Medium,True,1,Timetable,weekly
GF-SEC-01-20260908-0410,SEC-01,2026-09-08T04:10:00,2026-09-08T05:40:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-04-20260908-0945,SEC-04,2026-09-08T09:45:00,2026-09-08T16:45:00,7.0,Medium,False,4,MegaBlock,weekly
TT-SEC-04-20260908-0945,SEC-04,2026-09-08T09:45:00,2026-09-08T12:45:00,3.0,Medium,False,1,Timetable,weekly
GF-SEC-03-20260908-1030,SEC-03,2026-09-08T10:30:00,2026-09-08T17:30:00,7.0,Medium,False,4,MegaBlock,weekly
TT-SEC-05-20260909-0020,SEC-05,2026-09-09T00:20:00,2026-09-09T03:50:00,3.5,High,True,2,Timetable,weekly
TT-SEC-01-20260909-0040,SEC-01,2026-09-09T00:40:00,2026-09-09T04:10:00,3.5,High,True,2,Timetable,weekly
TT-SEC-02-20260909-0110,SEC-02,2026-09-09T01:10:00,2026-09-09T04:20:00,3.17,High,True,1,Timetable,weekly
TT-SEC-03-20260909-0130,SEC-03,2026-09-09T01:30:00,2026-09-09T04:30:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-04-20260909-0200,SEC-04,2026-09-09T02:00:00,2026-09-09T05:00:00,3.0,Medium,True,1,Timetable,weekly
GF-SEC-02-20260909-0420,SEC-02,2026-09-09T04:20:00,2026-09-09T05:50:00,1.5,Low,True,1,GoodsForecast,weekly
TT-SEC-03-20260909-1030,SEC-03,2026-09-09T10:30:00,2026-09-09T13:00:00,2.5,Medium,False,1,Timetable,weekly
GF-SEC-05-20260910-0020,SEC-05,2026-09-10T00:20:00,2026-09-10T07:20:00,7.0,High,True,4,MegaBlock,weekly
TT-SEC-05-20260910-0020,SEC-05,2026-09-10T00:20:00,2026-09-10T03:50:00,3.5,High,True,2,Timetable,weekly
GF-SEC-01-20260910-0040,SEC-01,2026-09-10T00:40:00,2026-09-10T06:40:00,6.0,High,True,3,MegaBlock,weekly
TT-SEC-01-20260910-0040,SEC-01,2026-09-10T00:40:00,2026-09-10T04:10:00,3.5,High,True,2,Timetable,weekly
GF-SEC-02-20260910-0110,SEC-02,2026-09-10T01:10:00,2026-09-10T09:10:00,8.0,High,True,4,MegaBlock,weekly
TT-SEC-02-20260910-0110,SEC-02,2026-09-10T01:10:00,2026-09-10T04:20:00,3.17,High,True,1,Timetable,weekly
TT-SEC-03-20260910-0130,SEC-03,2026-09-10T01:30:00,2026-09-10T04:30:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-04-20260910-0200,SEC-04,2026-09-10T02:00:00,2026-09-10T05:00:00,3.0,Medium,True,1,Timetable,weekly
GF-SEC-05-20260910-0350,SEC-05,2026-09-10T03:50:00,2026-09-10T05:20:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-01-20260910-0410,SEC-01,2026-09-10T04:10:00,2026-09-10T05:40:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-04-20260910-0945,SEC-04,2026-09-10T09:45:00,2026-09-10T16:45:00,7.0,Medium,False,4,MegaBlock,weekly
TT-SEC-04-20260910-0945,SEC-04,2026-09-10T09:45:00,2026-09-10T12:45:00,3.0,Medium,False,1,Timetable,weekly
GF-SEC-03-20260910-1030,SEC-03,2026-09-10T10:30:00,2026-09-10T17:30:00,7.0,Medium,False,4,MegaBlock,weekly
TT-SEC-05-20260911-0020,SEC-05,2026-09-11T00:20:00,2026-09-11T03:50:00,3.5,High,True,2,Timetable,weekly
TT-SEC-01-20260911-0040,SEC-01,2026-09-11T00:40:00,2026-09-11T04:10:00,3.5,High,True,2,Timetable,weekly
TT-SEC-02-20260911-0110,SEC-02,2026-09-11T01:10:00,2026-09-11T04:20:00,3.17,High,True,1,Timetable,weekly
TT-SEC-03-20260911-0130,SEC-03,2026-09-11T01:30:00,2026-09-11T04:30:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-04-20260911-0200,SEC-04,2026-09-11T02:00:00,2026-09-11T05:00:00,3.0,Medium,True,1,Timetable,weekly
GF-SEC-02-20260911-0420,SEC-02,2026-09-11T04:20:00,2026-09-11T05:50:00,1.5,Low,True,1,GoodsForecast,weekly
TT-SEC-03-20260911-1030,SEC-03,2026-09-11T10:30:00,2026-09-11T13:00:00,2.5,Medium,False,1,Timetable,weekly
GF-SEC-03-20260911-1300,SEC-03,2026-09-11T13:00:00,2026-09-11T14:30:00,1.5,Low,False,1,GoodsForecast,weekly
GF-SEC-05-20260912-0020,SEC-05,2026-09-12T00:20:00,2026-09-12T07:20:00,7.0,High,True,4,MegaBlock,weekly
TT-SEC-05-20260912-0020,SEC-05,2026-09-12T00:20:00,2026-09-12T03:50:00,3.5,High,True,2,Timetable,weekly
GF-SEC-01-20260912-0040,SEC-01,2026-09-12T00:40:00,2026-09-12T06:40:00,6.0,High,True,3,MegaBlock,weekly
TT-SEC-01-20260912-0040,SEC-01,2026-09-12T00:40:00,2026-09-12T04:10:00,3.5,High,True,2,Timetable,weekly
GF-SEC-02-20260912-0110,SEC-02,2026-09-12T01:10:00,2026-09-12T09:10:00,8.0,High,True,4,MegaBlock,weekly
TT-SEC-02-20260912-0110,SEC-02,2026-09-12T01:10:00,2026-09-12T04:20:00,3.17,High,True,1,Timetable,weekly
TT-SEC-03-20260912-0130,SEC-03,2026-09-12T01:30:00,2026-09-12T04:30:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-04-20260912-0200,SEC-04,2026-09-12T02:00:00,2026-09-12T05:00:00,3.0,Medium,True,1,Timetable,weekly
GF-SEC-01-20260912-0410,SEC-01,2026-09-12T04:10:00,2026-09-12T05:40:00,1.5,Low,True,1,GoodsForecast,weekly
GF-SEC-04-20260912-0945,SEC-04,2026-09-12T09:45:00,2026-09-12T16:45:00,7.0,Medium,False,4,MegaBlock,weekly
TT-SEC-04-20260912-0945,SEC-04,2026-09-12T09:45:00,2026-09-12T12:45:00,3.0,Medium,False,1,Timetable,weekly
GF-SEC-03-20260912-1030,SEC-03,2026-09-12T10:30:00,2026-09-12T17:30:00,7.0,Medium,False,4,MegaBlock,weekly
GF-SEC-04-20260912-1245,SEC-04,2026-09-12T12:45:00,2026-09-12T14:15:00,1.5,Low,False,1,GoodsForecast,weekly
TT-SEC-05-20260913-0020,SEC-05,2026-09-13T00:20:00,2026-09-13T04:20:00,4.0,High,True,2,Timetable,weekly
TT-SEC-01-20260913-0040,SEC-01,2026-09-13T00:40:00,2026-09-13T04:40:00,4.0,High,True,2,Timetable,weekly
TT-SEC-02-20260913-0110,SEC-02,2026-09-13T01:10:00,2026-09-13T04:50:00,3.67,High,True,2,Timetable,weekly
TT-SEC-03-20260913-0130,SEC-03,2026-09-13T01:30:00,2026-09-13T04:30:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-04-20260913-0200,SEC-04,2026-09-13T02:00:00,2026-09-13T05:00:00,3.0,Medium,True,1,Timetable,weekly
TT-SEC-03-20260913-1030,SEC-03,2026-09-13T10:30:00,2026-09-13T13:00:00,2.5,Medium,False,1,Timetable,weekly
GF-SEC-05-20260916-0020,SEC-05,2026-09-16T00:20:00,2026-09-16T07:20:00,7.0,High,True,4,MegaBlock,monthly
TT-SEC-05-20260916-0020,SEC-05,2026-09-16T00:20:00,2026-09-16T03:50:00,3.5,High,True,2,Timetable,monthly
GF-SEC-01-20260916-0040,SEC-01,2026-09-16T00:40:00,2026-09-16T06:40:00,6.0,High,True,3,MegaBlock,monthly
