defect_id,department,location,section_id,section_name,defect_type,severity,overdue_days,estimated_duration_hours,criticality_score,asset_impact,description,criticality_component,severity_component,aging_component,asset_impact_component,density_component,duration_component,rule_priority_score,urgency_band,priority_rank,ml_priority_score,final_priority_score,final_rank,rule_rank,ml_rank,rank_delta,final_urgency_band,requires_extended_block,unscheduled_reason
SMMS-001,S&T,CNB (RRI cabin),SEC-01,Kanpur Central – Bindki Road,Interlocking relay / EI card fault,High,5,6.0,10,High,Electronic interlocking I/O card intermittent; risk of route locking failure at Kanpur Central.,35.0,15.0,2.5,15.0,10.0,3.75,81.25,P1 - Immediate,1,81.02,81.13,1,1,1,0,P1 - Immediate,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-002,Engineering,CNB Yard (PF-3 turnout 12A),SEC-01,Kanpur Central – Bindki Road,Point and crossing wear,High,11,6.0,9,High,Nose and wing rail wear beyond condemning limit; affects coaching dispatch from Kanpur Central.,31.5,15.0,5.5,15.0,10.0,3.75,80.75,P1 - Immediate,2,80.43,80.59,2,2,2,0,P1 - Immediate,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-002,TRD,SEC-01 / km 22.4,SEC-01,Kanpur Central – Bindki Road,Contact wire wear,High,10,6.0,9,High,Contact wire residual 8.6 mm (condemn 8.25 mm); replacement needs power + traffic block.,31.5,15.0,5.0,15.0,10.0,3.75,80.25,P1 - Immediate,4,80.07,80.16,4,4,3,1,P1 - Immediate,True,requires_extended_block: actual duration exceeds all available slot windows on this section
SMMS-012,S&T,PRYJ (EI),SEC-05,Bharwari – Prayagraj Junction,Interlocking relay / EI card fault,High,1,7.0,10,High,Hot standby mismatch after power dip; division HQ station — treat as emergency.,35.0,15.0,0.5,15.0,10.0,4.38,79.88,P2 - Urgent,5,79.77,79.82,5,5,6,-1,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-012,Engineering,BRE / km 160.2,SEC-05,Bharwari – Prayagraj Junction,Bridge approach settlement,High,8,6.5,9,High,Minor bridge 412 approach dip 18 mm; packing and approach rail destressing needed.,31.5,15.0,4.0,15.0,10.0,4.06,79.56,P2 - Urgent,6,80.06,79.81,6,6,4,2,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-014,TRD,PRYJ / TSS feed,SEC-05,Bharwari – Prayagraj Junction,CB trip / protection mal-op,High,2,4.5,10,High,Incoming 132 kV CB slow to close after trip; terminal station outage risk.,35.0,15.0,1.0,15.0,10.0,2.81,78.81,P2 - Urgent,7,78.38,78.59,8,7,9,-2,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-001,TRD,SP Panki (SEC-01),SEC-01,Kanpur Central – Bindki Road,Section insulator defect,High,7,5.0,9,High,Section insulator pitting; risk of pantograph entanglement on Up high-density line.,31.5,15.0,3.5,15.0,10.0,3.12,78.12,P2 - Urgent,10,78.17,78.14,10,10,10,0,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-011,TRD,SP Subedarganj,SEC-05,Bharwari – Prayagraj Junction,Section insulator defect,High,4,5.0,9,High,Neutral section rough ride reported by Rajdhani crew; PRYJ approach — high impact.,31.5,15.0,2.0,15.0,10.0,3.12,76.62,P2 - Urgent,11,77.14,76.88,11,11,11,0,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-003,Engineering,PNKD / km 14.2 Down,SEC-01,Kanpur Central – Bindki Road,Weld failure (AT weld),High,3,5.0,9,High,Alumino-thermit weld dipped; requires destressing and re-weld under traffic block.,31.5,15.0,1.5,15.0,10.0,3.12,76.12,P2 - Urgent,12,77.1,76.61,12,12,12,0,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-016,Engineering,SEC-02 / km 68.9,SEC-02,Bindki Road – Fatehpur,LWR destressing overdue,Medium,27,8.0,7,Medium,LWR panel overdue destressing before summer; needs 25 kV power block coordination with TRD.,24.5,9.75,13.5,9.75,10.0,5.0,72.5,P2 - Urgent,15,71.8,72.15,15,15,16,-1,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
