slot_id,section_id,section_name,start_datetime,end_datetime,duration_hours,is_night_window,traffic_density,slot_source,max_tasks_possible,assigned_defect_ids,assigned_defect_count,departments_involved,is_bundled,bundle_type,total_priority_cleared,max_defect_duration,total_defect_duration,duration_utilization_pct
TT-SEC-01-20260907-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-07T00:40:00,2026-09-07T04:10:00,3.5,True,High,Timetable,2,"['TMS-002', 'SMMS-016']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,129.6,6.0,8.5,100.0
TT-SEC-05-20260908-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-08T00:20:00,2026-09-08T03:50:00,3.5,True,High,Timetable,2,"['TMS-013', 'TDMS-013']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),144.99,4.0,7.5,100.0
TT-SEC-04-20260908-0200,SEC-04,Khaga – Bharwari,2026-09-08T02:00:00,2026-09-08T05:00:00,3.0,True,Medium,Timetable,1,"['TMS-008', 'SMMS-008']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,99.74,3.5,5.0,100.0
TT-SEC-04-20260909-0200,SEC-04,Khaga – Bharwari,2026-09-09T02:00:00,2026-09-09T05:00:00,3.0,True,Medium,Timetable,1,"['TMS-011', 'TDMS-010']",2,"['Engineering', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),117.61,7.0,13.0,100.0
TT-SEC-02-20260910-0110,SEC-02,Bindki Road – Fatehpur,2026-09-10T01:10:00,2026-09-10T04:20:00,3.17,True,High,Timetable,1,"['SMMS-015', 'SMMS-005']",2,['S&T'],True,Co-Located S&T Multi-Task Block,117.83,3.0,5.0,100.0
TT-SEC-04-20260910-0200,SEC-04,Khaga – Bharwari,2026-09-10T02:00:00,2026-09-10T05:00:00,3.0,True,Medium,Timetable,1,"['TMS-009', 'SMMS-009']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,127.33,5.0,8.5,100.0
TT-SEC-01-20260912-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-12T00:40:00,2026-09-12T04:10:00,3.5,True,High,Timetable,2,"['SMMS-002', 'TMS-003']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,155.08,5.0,9.0,100.0
TT-SEC-05-20260913-0020,SEC-05,Bharwari – Prayagraj Junction,2026-09-13T00:20:00,2026-09-13T04:20:00,4.0,True,High,Timetable,2,"['SMMS-012', 'TDMS-014', 'TMS-021']",3,"['Engineering', 'S&T', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),231.49,7.0,15.0,100.0
TT-SEC-01-20260913-0040,SEC-01,Kanpur Central – Bindki Road,2026-09-13T00:40:00,2026-09-13T04:40:00,4.0,True,High,Timetable,2,"['TDMS-001', 'TMS-017', 'SMMS-014']",3,"['Engineering', 'S&T', 'TRD']",True,TRD Power Shadow Block (Multi-Disciplinary),177.2,5.0,11.0,100.0
TT-SEC-02-20260913-0110,SEC-02,Bindki Road – Fatehpur,2026-09-13T01:10:00,2026-09-13T04:50:00,3.67,True,High,Timetable,2,"['TDMS-004', 'TDMS-005']",2,['TRD'],True,Co-Located TRD Multi-Task Block,133.27,4.0,7.0,100.0
TT-SEC-03-20260916-0130,SEC-03,Fatehpur – Khaga,2026-09-16T01:30:00,2026-09-16T04:30:00,3.0,True,Medium,Timetable,1,"['SMMS-007', 'TMS-018']",2,"['Engineering', 'S&T']",True,Joint Engineering + S&T Corridor Block,112.0,7.0,12.0,100.0
